"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28509-6840","RB","Frank","Frank Gore","Gore","4.066666603088379","3","5000","MIA@NE","MIA","NE","","","","",""
"28509-22219","WR","Jermaine","Jermaine Kearse","Kearse","2.700000047683716","2","5000","NYJ@JAC","NYJ","JAC","","","","",""
"28509-7972","RB","Darren","Darren Sproles","Sproles","5.199999809265137","1","5000","PHI@TEN","PHI","TEN","Q","Hamstring","","",""
"28509-31561","WR","Donte","Donte Moncrief","Moncrief","4.633333206176758","3","5000","NYJ@JAC","JAC","NYJ","","","","",""
"28509-28545","RB","Rod","Rod Smith","Smith","0.5","1","5000","DET@DAL","DAL","DET","","","","",""
"28509-62538","WR","Cameron","Cameron Meredith","Meredith","7.599999904632568","1","4900","NO@NYG","NO","NYG","","","","",""
"28509-70372","WR","Chester","Chester Rogers","Rogers","2.9666665395100913","3","4900","HOU@IND","IND","HOU","","","","",""
"28509-30837","WR","Jordan","Jordan Matthews","Matthews","3.0999999046325684","1","4800","PHI@TEN","PHI","TEN","","","","",""
"28509-25837","RB","Duke","Duke Johnson Jr.","Johnson Jr.","3.1000000635782876","3","4800","CLE@OAK","CLE","OAK","","","","",""
"28509-54741","WR","Seth","Seth Roberts","Roberts","6.699999809265137","2","4800","CLE@OAK","OAK","CLE","","","","",""
"28509-22035","WR","Travis","Travis Benjamin","Benjamin","2.5","1","4800","SF@LAC","LAC","SF","Q","Foot","","",""
"28509-53913","WR","Cody","Cody Hollister","Hollister","0","0","4800","MIA@NE","NE","MIA","O","Back","","",""
"28509-7965","TE","Antonio","Antonio Gates","Gates","3.5333334604899087","3","4800","SF@LAC","LAC","SF","","","","",""
"28509-53562","RB","Nick","Nick Chubb","Chubb","1.3666666348775227","3","4700","CLE@OAK","CLE","OAK","","","","",""
"28509-41305","WR","Zay","Zay Jones","Jones","4.533333460489909","3","4700","BUF@GB","BUF","GB","","","","",""
"28509-22898","RB","Brandon","Brandon Bolden","Bolden","2.633333365122477","3","4700","MIA@NE","MIA","NE","","","","",""
"28509-22959","WR","Deonte","Deonte Thompson","Thompson","4.266666730244954","3","4700","DET@DAL","DAL","DET","","","","",""
